borough,bedroom_category,rent_count,rent_mean_gbp,rent_lower_quartile_gbp,rent_median_gbp,rent_upper_quartile_gbp,code,jobs_thousand,median_weekly_pay_gross_gbp,annual_pct_change_median,mean_weekly_pay_gross_gbp,annual_pct_change_mean,p10_gbp,p20_gbp,p25_gbp,p30_gbp,p40_gbp,p60_gbp,p70_gbp,p75_gbp,p80_gbp,p90_gbp
Hackney,Studio,40,1291,1182,1280,1300,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hackney,One Bedroom,290,2029,1700,2000,2200,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hackney,Two Bedrooms,380,2444,2000,2400,2750,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hackney,Three Bedrooms,170,3094,2525,3050,3475,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hackney,Four or More Bedrooms,50,4244,3561,3938,4913,E09000012,77,959.3,8.8,1153.8,6.5,551,643.1,702.7,766.6,846.7,1139.8,1266.8,1382.6,1524,x
Hammersmith and Fulham,Room,40,1023,904,1026,1160,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Hammersmith and Fulham,Studio,50,1622,1409,1538,1700,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Hammersmith and Fulham,One Bedroom,420,1962,1650,1869,2200,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Hammersmith and Fulham,Two Bedrooms,530,2644,2100,2500,3025,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Hammersmith and Fulham,Three Bedrooms,160,3348,2688,3250,3750,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Hammersmith and Fulham,Four or More Bedrooms,80,5029,3900,4500,5775,E09000013,70,917.3,4.9,1266.8,10.8,561.1,646.6,699.3,764,830.3,1085.7,1324.2,1532.4,1724.9,x
Haringey,Room,30,760,676,726,798,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Haringey,Studio,40,1109,995,1083,1200,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Haringey,One Bedroom,290,1615,1400,1600,1750,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Haringey,Two Bedrooms,430,2015,1750,1950,2200,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Haringey,Three Bedrooms,180,2491,2050,2413,2800,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Haringey,Four or More Bedrooms,110,3609,2900,3300,4059,E09000014,77,900.8,10.6,1055.9,6.1,556.2,646.8,676.3,707.1,804.5,972,1151.7,1280,1349.4,x
Harrow,Room,30,766,676,776,870,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Harrow,Studio,50,1175,1000,1200,1400,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
Harrow,One Bedroom,310,1383,1259,1400,1500,E09000015,78,880,3.2,1127.2,15.4,518.2,613.3,645.2,683.6,759.5,1040.1,1252.8,1355.6,1436.5,x
